0	0	0	0	0	0
256	0	0	188	1	0
512	0	0	384	3	0
768	0	0	593	4	0
1024	0	0	801	6	0
1280	0	0	1004	7	0
1536	0	0	1215	9	0
1792	0	0	1433	10	0
2048	0	0	1648	12	0
2303	0	0	1853	13	0
2559	0	0	2095	13	0
2815	0	0	2309	15	0
3071	0	0	2524	16	0
3327	0	0	2735	17	0
3583	0	0	2953	18	0
3839	0	0	3184	20	0
4095	0	0	3404	20	0
0	256	0	17	198	2
256	256	0	208	203	2
512	256	0	409	204	2
768	256	0	621	206	1
1024	256	0	832	208	1
1280	256	0	1038	211	1
1536	256	0	1249	212	1
1792	256	0	1470	214	1
2048	256	0	1687	214	1
2303	256	0	1891	215	1
2559	256	0	2135	217	1
2815	256	0	2350	218	1
3071	256	0	2570	220	0
3327	256	0	2781	221	0
3583	256	0	3001	223	0
3839	256	0	3234	224	0
4095	256	0	3453	225	0
0	512	0	33	395	3
256	512	0	226	400	3
512	512	0	427	402	3
768	512	0	642	403	3
1024	512	0	852	406	3
1280	512	0	1059	407	3
1536	512	0	1273	408	3
1792	512	0	1494	411	3
2048	512	0	1706	412	3
2303	512	0	1914	415	3
2559	512	0	2160	417	2
2815	512	0	2373	419	2
3071	512	0	2592	420	2
3327	512	0	2803	422	2
3583	512	0	3026	424	2
3839	512	0	3256	424	2
4095	512	0	3476	426	3
0	768	0	50	609	5
256	768	0	244	617	5
512	768	0	446	618	5
768	768	0	662	621	5
1024	768	0	871	623	5
1280	768	0	1079	624	5
1536	768	0	1295	627	5
1792	768	0	1514	628	4
2048	768	0	1726	631	4
2303	768	0	1940	633	4
2559	768	0	2184	636	4
2815	768	0	2394	637	4
3071	768	0	2615	638	4
3327	768	0	2826	642	4
3583	768	0	3049	643	4
3839	768	0	3273	645	4
4095	768	0	3495	646	4
0	1024	0	67	819	7
256	1024	0	262	826	7
512	1024	0	466	829	7
768	1024	0	681	831	7
1024	1024	0	891	833	7
1280	1024	0	1098	836	6
1536	1024	0	1315	837	6
1792	1024	0	1534	840	6
2048	1024	0	1747	842	6
2303	1024	0	1961	844	6
2559	1024	0	2202	846	6
2815	1024	0	2416	849	6
3071	1024	0	2635	849	6
3327	1024	0	2845	851	6
3583	1024	0	3068	853	5
3839	1024	0	3295	854	5
4095	1024	0	3517	857	5
0	1280	0	84	1031	9
256	1280	0	280	1039	9
512	1280	0	485	1042	8
768	1280	0	699	1044	8
1024	1280	0	910	1049	8
1280	1280	0	1118	1051	8
1536	1280	0	1337	1054	8
1792	1280	0	1554	1055	8
2048	1280	0	1765	1058	8
2303	1280	0	1984	1060	8
2559	1280	0	2222	1063	8
2815	1280	0	2435	1064	7
3071	1280	0	2653	1064	7
3327	1280	0	2863	1068	7
3583	1280	0	3092	1070	7
3839	1280	0	3317	1072	7
4095	1280	0	3536	1074	7
0	1536	0	101	1252	10
256	1536	0	299	1259	10
512	1536	0	505	1263	10
768	1536	0	719	1265	10
1024	1536	0	929	1268	10
1280	1536	0	1138	1271	10
1536	1536	0	1358	1274	10
1792	1536	0	1574	1277	10
2048	1536	0	1785	1279	10
2303	1536	0	2007	1282	9
2559	1536	0	2241	1284	9
2815	1536	0	2453	1285	9
3071	1536	0	2673	1286	9
3327	1536	0	2884	1290	9
3583	1536	0	3115	1293	9
3839	1536	0	3337	1295	9
4095	1536	0	3556	1297	9
0	1792	0	118	1475	12
256	1792	0	317	1483	12
512	1792	0	524	1486	12
768	1792	0	739	1487	12
1024	1792	0	947	1491	12
1280	1792	0	1156	1493	12
1536	1792	0	1379	1496	11
1792	1792	0	1594	1497	11
2048	1792	0	1803	1500	11
2303	1792	0	2027	1503	11
2559	1792	0	2258	1504	11
2815	1792	0	2473	1506	11
3071	1792	0	2693	1508	11
3327	1792	0	2903	1513	11
3583	1792	0	3133	1515	11
3839	1792	0	3356	1517	11
4095	1792	0	3576	1517	10
0	2048	0	135	1696	14
256	2048	0	335	1704	14
512	2048	0	544	1706	14
768	2048	0	758	1709	14
1024	2048	0	966	1711	13
1280	2048	0	1175	1713	13
1536	2048	0	1400	1716	13
1792	2048	0	1613	1716	13
2048	2048	0	1820	1719	13
2303	2048	0	2049	1721	13
2559	2048	0	2278	1724	13
2815	2048	0	2495	1725	13
3071	2048	0	2712	1729	13
3327	2048	0	2923	1732	12
3583	2048	0	3152	1734	12
3839	2048	0	3377	1735	12
4095	2048	0	3596	1737	11
0	2303	0	153	1925	16
256	2303	0	352	1931	15
512	2303	0	563	1936	15
768	2303	0	777	1938	15
1024	2303	0	985	1941	15
1280	2303	0	1196	1942	15
1536	2303	0	1421	1945	15
1792	2303	0	1633	1946	15
2048	2303	0	1840	1949	15
2303	2303	0	2072	1952	15
2559	2303	0	2298	1954	15
2815	2303	0	2514	1956	14
3071	2303	0	2730	1958	14
3327	2303	0	2945	1963	14
3583	2303	0	3173	1964	14
3839	2303	0	3397	1967	14
4095	2303	0	3616	1970	14
0	2559	0	170	2163	16
256	2559	0	371	2170	16
512	2559	0	583	2173	16
768	2559	0	796	2177	16
1024	2559	0	1003	2178	16
1280	2559	0	1216	2179	16
1536	2559	0	1441	2181	16
1792	2559	0	1652	2181	16
2048	2559	0	1859	2187	16
2303	2559	0	2094	2189	16
2559	2559	0	2319	2190	16
2815	2559	0	2536	2192	16
3071	2559	0	2750	2197	16
3327	2559	0	2965	2200	16
3583	2559	0	3193	2201	16
3839	2559	0	3418	2205	15
4095	2559	0	3637	2208	15
0	2815	0	188	2381	18
256	2815	0	391	2387	18
512	2815	0	602	2391	18
768	2815	0	814	2394	19
1024	2815	0	1025	2397	19
1280	2815	0	1238	2400	19
1536	2815	0	1459	2400	17
1792	2815	0	1672	2402	18
2048	2815	0	1879	2407	17
2303	2815	0	2117	2409	18
2559	2815	0	2340	2411	17
2815	2815	0	2557	2414	17
3071	2815	0	2770	2417	18
3327	2815	0	2987	2419	17
3583	2815	0	3214	2421	17
3839	2815	0	3437	2423	17
4095	2815	0	3657	2427	16
0	3071	0	206	2609	20
256	3071	0	408	2614	20
512	3071	0	621	2616	20
768	3071	0	834	2621	19
1024	3071	0	1044	2625	19
1280	3071	0	1257	2626	19
1536	3071	0	1479	2629	19
1792	3071	0	1692	2632	19
2048	3071	0	1898	2636	19
2303	3071	0	2140	2636	19
2559	3071	0	2361	2639	19
2815	3071	0	2578	2640	19
3071	3071	0	2792	2642	19
3327	3071	0	3011	2646	18
3583	3071	0	3238	2648	18
3839	3071	0	3459	2650	18
4095	3071	0	3678	2655	18
0	3327	0	222	2820	22
256	3327	0	425	2822	21
512	3327	0	642	2824	21
768	3327	0	852	2830	21
1024	3327	0	1061	2833	21
1280	3327	0	1278	2837	21
1536	3327	0	1500	2842	21
1792	3327	0	1712	2846	21
2048	3327	0	1920	2849	21
2303	3327	0	2162	2851	21
2559	3327	0	2379	2852	20
2815	3327	0	2598	2854	20
3071	3327	0	2812	2860	20
3327	3327	0	3031	2863	20
3583	3327	0	3256	2864	20
3839	3327	0	3478	2866	20
4095	3327	0	3699	2871	20
0	3583	0	241	3066	23
256	3583	0	446	3073	23
512	3583	0	661	3074	23
768	3583	0	872	3078	23
1024	3583	0	1083	3081	23
1280	3583	0	1301	3083	23
1536	3583	0	1519	3084	23
1792	3583	0	1729	3085	22
2048	3583	0	1941	3087	22
2303	3583	0	2183	3089	22
2559	3583	0	2398	3092	22
2815	3583	0	2618	3096	22
3071	3583	0	2831	3099	22
3327	3583	0	3051	3103	22
3583	3583	0	3278	3105	22
3839	3583	0	3499	3108	22
4095	3583	0	3719	3110	22
0	3839	0	259	3304	25
256	3839	0	465	3306	25
512	3839	0	682	3306	25
768	3839	0	892	3313	25
1024	3839	0	1102	3316	25
1280	3839	0	1320	3319	24
1536	3839	0	1538	3322	24
1792	3839	0	1749	3324	24
2048	3839	0	1963	3327	24
2303	3839	0	2206	3333	24
2559	3839	0	2421	3335	24
2815	3839	0	2640	3336	24
3071	3839	0	2852	3340	24
3327	3839	0	3073	3341	24
3583	3839	0	3298	3344	23
3839	3839	0	3519	3347	23
4095	3839	0	3741	3350	23
0	4095	0	277	3526	27
256	4095	0	485	3530	27
512	4095	0	701	3533	26
768	4095	0	910	3538	26
1024	4095	0	1121	3540	26
1280	4095	0	1341	3542	26
1536	4095	0	1558	3545	26
1792	4095	0	1767	3548	26
2048	4095	0	1985	3549	26
2303	4095	0	2226	3554	26
2559	4095	0	2440	3556	26
2815	4095	0	2659	3558	26
3071	4095	0	2869	3561	25
3327	4095	0	3093	3565	25
3583	4095	0	3318	3567	25
3839	4095	0	3539	3568	25
